geneID	R_27738	R_27722_PCR	R_29691_PCR	R_28359	R_28373_PCR	R_30129_PCR	SBBSR37	SBBSR40	SBBSR41	SBBSR43	SBBSR45	SBBSR47	SBBSR48	SBBSR49	SBBSR50	SBBSR51	SBBSR54	SBBSR55	SBBSR56	SBBSR39
ENSG00000000003	12	101	105	2	84	61	554	475	316	893	438	346	852	207	735	478	84	463	400	1411
ENSG00000000005	0	67	83	0	25	32	163	28	42	258	287	12	26	4	16	37	13	95	95	171
ENSG00000000419	2	242	108	0	106	192	715	1046	580	980	745	959	750	867	635	624	339	1236	650	1004
ENSG00000000457	6	12	2	5	12	60	564	786	473	554	462	487	411	488	482	613	270	701	449	704
ENSG00000000460	7	32	15	19	16	55	133	226	137	230	151	168	169	164	155	147	103	185	117	203
ENSG00000000938	342	1613	426	140	698	4872	414	3870	3213	1106	1301	4326	699	5242	390	1523	3011	3440	278	294
ENSG00000000971	375	1927	1447	67	2706	1063	7787	12863	7675	18215	5116	5562	3737	6957	2985	6465	2525	14804	4890	3994
ENSG00000001036	88	1025	327	2	557	1074	1502	2888	2654	2269	1665	4664	1167	3019	1381	1325	2032	3045	628	1106
ENSG00000001084	18	252	93	10	201	367	1085	2998	774	1045	760	1854	832	2554	625	1257	1009	2320	557	1200
ENSG00000001167	4	114	43	4	61	104	560	959	361	1135	346	735	458	779	376	530	228	743	372	699
ENSG00000001460	28	92	62	35	50	63	108	166	82	117	162	115	138	95	166	111	31	141	152	208
ENSG00000001461	75	225	228	55	187	167	756	1148	460	551	682	532	605	692	739	630	338	850	697	1318
ENSG00000001497	417	928	950	253	701	693	968	1411	1067	1409	1505	1175	896	1062	1093	1078	903	1360	1113	1086
ENSG00000001561	1	117	50	1	79	124	331	380	236	810	147	529	285	930	182	330	140	452	106	536
ENSG00000001617	341	568	771	49	786	175	734	702	605	1113	1587	148	1431	300	1733	1138	122	1052	2024	1147
ENSG00000001626	7	23	72	49	35	1	108	150	26	1	74	10	301	7	124	58	2	67	91	515
ENSG00000001629	13	233	90	30	83	307	1331	1703	350	1422	494	1101	728	1650	574	1314	184	1247	717	1255
ENSG00000001630	0	0	0	0	0	0	8	1	1	6	4	4	19	21	8	9	0	8	2	1
ENSG00000001631	4	110	28	3	62	223	1046	1244	283	1434	478	733	604	989	505	812	167	1050	644	1151
ENSG00000002016	38	122	100	33	91	107	257	438	158	470	166	127	161	176	157	194	84	176	235	411
ENSG00000002079	13	25	9	19	19	4	5	2	3	1	7	2	2	0	0	1	1	5	5	3
ENSG00000002330	317	239	314	260	278	140	175	219	457	207	634	260	304	208	473	251	324	249	334	175
ENSG00000002549	231	1273	731	78	1993	1462	2280	10095	5634	6833	3288	6698	2673	14155	1544	3095	2626	8272	4668	1912
ENSG00000002586	818	8602	4461	214	6381	8915	5738	9839	10452	7019	11133	12923	5383	7253	8741	6477	7231	9368	6614	5587
ENSG00000002587	33	116	33	36	61	21	26	52	27	96	34	56	17	28	42	14	2	29	27	43
ENSG00000002726	16	60	164	1	78	19	30	68	20	15	65	21	115	24	108	53	4	41	42	90
ENSG00000002745	8	11	2	0	19	0	262	231	17	24	147	38	154	15	432	121	2	258	149	228
ENSG00000002746	1	12	10	18	9	3	36	50	18	6	32	26	22	27	23	25	9	10	11	18
ENSG00000002822	2436	1627	1787	2065	1689	2240	144	426	514	206	573	316	321	389	355	369	465	431	276	181
ENSG00000002834	26	851	201	92	414	1801	4089	9946	6058	7783	4570	8779	2464	9132	3711	3991	4186	7061	2949	3043
ENSG00000002919	86	616	511	21	527	469	430	1270	763	850	731	969	428	995	516	489	556	926	497	565
ENSG00000002933	506	2333	332	248	765	2216	717	5320	4021	2874	1107	5143	398	1144	566	2062	2762	2723	562	302
ENSG00000003056	12	82	16	29	49	379	1625	5643	1754	3059	1496	5174	1433	7578	1075	2061	1166	3810	882	1524
ENSG00000003096	0	13	6	4	10	7	140	150	42	160	44	60	77	12	71	91	6	63	33	136
ENSG00000003137	24	163	137	3	74	173	524	898	176	413	359	345	633	500	988	1052	56	524	1778	775
ENSG00000003147	15	162	189	28	92	90	574	687	460	763	630	446	395	321	695	457	231	553	618	876
ENSG00000003249	0	34	105	1	40	10	73	38	46	22	183	19	116	15	153	47	15	64	150	106
ENSG00000003393	25	165	51	89	116	197	682	828	383	1128	513	693	539	730	529	641	138	814	534	918
ENSG00000003400	123	400	281	13	300	538	1353	1986	1322	1638	820	1045	546	1295	658	1472	934	1206	886	831
ENSG00000003402	288	1235	889	212	967	1121	3996	8834	4262	5872	3320	5137	3158	8283	2175	5419	4134	6940	3650	3792
ENSG00000003436	70	501	140	53	203	191	1225	1886	844	2461	812	1256	447	627	1055	1744	374	1093	1081	948
ENSG00000003509	22	164	110	16	89	210	364	602	338	675	339	494	266	467	339	332	177	443	365	596
ENSG00000003756	221	1977	1200	57	1052	1300	5893	7355	3500	7009	5473	5430	4065	5390	4631	5217	2474	5750	5864	7323
ENSG00000003987	18	22	10	1	22	38	15	10	6	1	9	1	13	1	10	12	0	19	7	12
ENSG00000003989	2	298	150	40	139	135	905	546	405	3093	696	473	439	343	544	1053	142	627	569	820
ENSG00000004059	45	1881	1340	0	1563	2518	1071	1754	1560	1239	2755	1585	1968	1365	2175	1386	1030	1741	1803	1712
ENSG00000004139	24	60	29	25	32	54	568	844	530	666	618	803	437	728	505	634	423	734	470	587
ENSG00000004142	233	1122	1308	86	1074	1081	1222	2053	1752	1926	2585	2086	1908	1870	1989	1423	1175	2319	1490	2112
ENSG00000004399	10148	7544	4895	5396	4725	11369	2505	7822	4741	6166	4454	8953	1712	8938	3923	5040	3524	4912	2021	1695
ENSG00000004455	193	972	799	46	844	948	1899	3141	2203	3423	2942	2418	2068	2869	2253	2008	1302	2746	2218	2915
ENSG00000004468	4	124	61	3	137	154	896	1424	1092	958	239	447	150	1693	21	408	1050	1093	84	58
ENSG00000004478	41	311	422	215	441	169	1077	1490	1736	2424	2297	777	1843	472	2169	1332	329	1814	2250	2835
ENSG00000004487	84	524	609	54	607	647	1542	1997	1361	1831	2020	1925	1442	1562	1609	1397	818	1874	1471	2249
ENSG00000004534	2598	3515	2503	2245	1871	2584	4641	6616	5031	6895	5661	4015	2869	4060	3158	3857	3594	4958	3759	5153
ENSG00000004660	295	594	478	123	348	612	383	390	487	336	986	478	693	380	968	617	440	747	613	612
ENSG00000004700	6	116	53	14	99	174	1051	2107	764	1965	565	1605	761	2024	571	1068	477	1388	489	934
ENSG00000004766	18	147	56	10	125	187	613	1115	397	799	363	549	458	752	398	658	177	778	462	790
ENSG00000004776	19	107	230	0	47	88	897	364	833	4032	2827	157	117	70	341	192	400	352	514	721
ENSG00000004777	79	258	299	16	342	1066	145	199	219	193	321	115	217	235	292	255	193	239	222	147
ENSG00000004779	143	664	693	103	856	359	661	1071	1770	1158	1544	1202	946	763	1095	627	1307	1232	881	1363
ENSG00000004799	12	258	99	2	56	120	261	1161	623	6058	357	124	276	55	140	585	184	453	1224	770
ENSG00000004809	0	20	0	5	8	4	2	22	16	34	19	3	6	49	11	4	7	4	7	4
ENSG00000004838	13	57	41	43	39	18	30	20	20	34	20	11	30	19	16	18	16	23	28	21
ENSG00000004846	1	72	5	3	6	20	35	320	15	76	22	64	26	3	81	67	4	49	84	26
ENSG00000004848	0	3	9	14	12	3	8	0	2	4	2	0	0	0	0	1	6	0	2	1
ENSG00000004864	16	131	71	58	106	221	603	705	458	632	520	845	587	835	583	632	256	1049	414	888
ENSG00000004866	53	160	92	17	144	153	468	647	504	575	580	668	421	566	456	474	310	689	368	554
ENSG00000004897	19	384	233	12	280	363	1451	1776	875	2117	794	1585	716	1847	793	1419	594	1577	661	1226
ENSG00000004939	9	25	10	7	30	0	17	2	2	49	64	1	6	3	1	2	7	2	23	18
ENSG00000004948	7	9	4	0	6	3	7	29	7	11	6	20	8	13	2	6	5	14	2	3
ENSG00000004961	35	155	158	17	176	167	341	792	460	529	520	571	471	630	405	391	289	684	388	687
ENSG00000004975	44	319	201	30	260	650	546	711	558	612	1024	606	729	724	818	696	320	777	845	606
ENSG00000005001	1	168	320	62	303	9	38	81	36	0	179	19	581	13	385	48	5	65	49	169
ENSG00000005007	215	1675	1148	59	1155	1985	1056	1591	725	1517	1432	1008	1281	1577	1326	1405	535	1267	1320	1144
ENSG00000005020	23	300	71	1	119	329	656	2582	785	1494	423	2088	479	2127	424	1093	414	1455	437	794
ENSG00000005022	43	1755	1402	19	2438	1323	3736	7550	6660	4621	7334	6937	8574	6192	7492	4394	4797	7943	4853	9452
ENSG00000005059	25	377	163	26	289	380	504	1551	1225	1320	885	1410	456	1209	684	816	686	1581	672	612
ENSG00000005073	3	7	12	0	12	26	135	19	30	127	144	48	15	58	14	31	8	82	40	25
ENSG00000005075	996	1660	1596	515	1449	1495	160	287	515	184	421	287	270	225	289	244	465	341	244	188
ENSG00000005100	571	179	341	493	195	161	596	646	336	1024	427	478	494	609	518	607	207	647	469	762
ENSG00000005102	49	419	487	49	338	109	511	825	1100	3549	864	367	361	255	1031	923	144	906	919	925
ENSG00000005108	0	7	7	9	2	8	115	158	25	709	55	122	63	140	64	376	5	96	74	131
ENSG00000005156	18	147	79	6	85	128	678	780	472	834	655	484	604	698	705	778	272	759	590	909
ENSG00000005175	56	148	112	2	144	133	544	906	417	737	380	722	400	773	206	562	306	876	344	535
ENSG00000005187	0	3	9	0	6	11	79	246	116	33	103	116	1006	81	181	114	40	101	66	1197
ENSG00000005189	13	57	65	2	74	34	80	146	89	108	90	71	90	86	76	65	49	117	91	113
ENSG00000005194	22	340	320	19	311	331	709	1060	817	1109	1141	1001	857	894	1103	651	565	1221	868	1126
ENSG00000005206	1349	6300	6387	401	4762	6461	416	606	485	476	738	386	603	577	819	578	310	608	651	494
ENSG00000005238	363	773	489	341	497	920	495	1130	853	873	1091	1857	567	1711	898	674	604	1182	876	704
ENSG00000005243	188	983	738	32	620	579	898	841	814	1014	1915	1621	456	620	872	523	356	596	654	670
ENSG00000005249	17	178	148	3	72	143	547	1128	345	3084	368	259	254	459	194	518	116	675	322	1583
ENSG00000005302	38	630	342	65	445	702	1462	2222	1146	1541	1130	1490	902	2251	991	1669	906	1910	947	1204
ENSG00000005339	182	721	410	75	441	1314	1684	2239	1161	2055	1324	1529	1086	2093	1153	2125	808	1867	1262	1516
ENSG00000005379	76	290	288	14	299	523	332	568	413	269	519	294	298	533	331	607	325	613	352	293
ENSG00000005381	1	11	9	4	22	30	6	20	32	6	10	30	6	78	11	2	36	15	3	8
ENSG00000005421	7	2	11	11	8	0	11	10	4	10	6	4	11	3	11	16	1	11	9	10
ENSG00000005436	26	150	106	4	114	83	409	599	360	574	407	370	329	382	301	385	251	494	334	578
ENSG00000005448	470	516	539	216	538	316	172	247	372	233	309	184	104	175	178	234	406	267	261	128
ENSG00000005469	0	177	134	44	165	183	661	933	293	467	544	529	644	431	600	617	129	797	670	1078
ENSG00000005471	8	46	28	19	34	36	86	146	84	65	64	71	85	119	83	124	17	77	71	133
ENSG00000005483	34	374	130	41	210	474	1763	2921	444	2984	783	1530	1055	2812	674	2128	282	2056	1007	1583
ENSG00000005486	2139	2500	2364	1583	1871	1520	655	1127	1133	924	1430	1075	783	850	1093	722	1150	1063	884	609
ENSG00000005513	15	75	218	10	52	90	36	66	66	304	99	22	56	11	94	30	10	54	70	117
ENSG00000005700	37	402	207	36	263	479	1438	1757	920	1879	838	2016	782	2423	641	1252	647	1800	593	1270
ENSG00000005801	32	181	151	1	130	202	404	702	375	636	482	649	365	738	333	404	310	672	303	544
ENSG00000005810	93	507	274	33	328	577	4062	4108	1398	5879	2442	2250	2865	4307	2340	3633	832	5553	4454	3435
ENSG00000005812	38	293	179	27	237	310	1822	2449	877	2256	815	1982	866	1903	874	1994	555	2180	997	1630
ENSG00000005844	2468	4010	3455	990	4643	4885	2031	5992	4451	1765	2109	3746	1146	6401	724	3387	5377	4996	1044	390
ENSG00000005882	2	56	27	10	58	90	464	669	472	492	757	476	423	407	554	415	300	489	635	622
ENSG00000005884	650	1107	1172	80	959	706	897	1182	1037	1298	2284	1554	1424	620	2083	1340	266	1348	1975	1322
ENSG00000005889	27	212	62	39	81	265	647	862	255	949	325	654	357	971	318	661	149	687	346	591
ENSG00000005893	98	973	360	129	747	1105	3384	8975	3899	4108	2584	9249	3057	10695	2642	4604	3041	6722	2000	4629
ENSG00000005961	23	35	49	23	31	17	11	8	15	20	13	15	12	12	18	21	3	8	14	8
ENSG00000005981	0	9	1	1	2	0	10	3	4	6	2	0	5	0	9	7	0	3	3	7
ENSG00000006007	383	393	278	392	345	433	1703	3608	2477	1936	2101	3728	2553	2587	2293	1689	2153	3430	1505	2867
ENSG00000006015	7831	8118	9302	4429	8020	5948	199	382	727	253	636	553	282	444	367	278	611	402	350	257
ENSG00000006016	249	354	221	1	700	52	77	30	142	326	484	10	87	14	204	43	45	80	170	62
ENSG00000006025	212	414	418	25	342	621	182	373	427	436	357	396	104	554	217	346	377	292	277	109
ENSG00000006042	1	186	82	3	125	140	779	935	490	760	1049	771	724	503	857	637	155	647	548	984
ENSG00000006047	17	179	296	10	81	34	74	83	70	73	121	12	114	8	100	85	7	89	88	279
ENSG00000006059	5	0	0	1	1	0	11	1	13	2	769	0	11	0	14	0	0	106	0	30
ENSG00000006062	20	331	114	7	214	587	445	1180	834	689	1128	831	618	1114	704	855	716	900	557	399
ENSG00000006071	8	37	18	34	25	5	3	2	0	56	18	1	11	2	8	2	1	5	3	11
ENSG00000006116	34	2	1	14	12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000006118	44	446	558	19	332	429	104	107	70	85	161	87	148	152	122	67	24	67	103	104
ENSG00000006125	501	1594	1570	148	1368	1294	2586	5165	3105	5730	3066	4335	2006	4370	2441	3009	2140	4376	2236	2467
ENSG00000006128	0	23	1	1	4	3	4	4	4	116	3	0	38	3	20	5	0	7	11	55
ENSG00000006194	185	699	476	107	479	431	743	1080	1058	1089	1269	1177	785	883	846	730	652	1157	940	1022
ENSG00000006210	270	1186	942	33	1215	300	880	1044	1374	1425	1316	372	642	313	645	745	374	1390	2081	520
ENSG00000006282	87	2740	1666	34	1346	4329	787	1284	640	674	1112	2137	951	904	1025	1095	953	1626	738	813
ENSG00000006283	6	30	23	16	14	37	58	53	22	9	135	52	54	55	129	48	4	32	55	61
ENSG00000006327	3	359	102	2	82	468	132	110	122	413	658	437	232	482	320	80	50	170	164	116
ENSG00000006377	5	22	16	134	25	0	17	10	9	9	8	6	27	1	19	4	3	47	44	29
ENSG00000006432	81	62	52	68	55	31	356	261	144	95	320	81	490	147	401	303	80	531	459	441
ENSG00000006451	61	505	154	136	325	615	1175	2503	1314	1773	1454	3159	1013	3576	1248	1152	843	1864	1127	1649
ENSG00000006453	37	119	281	19	181	58	409	485	244	407	729	180	814	83	766	539	37	550	659	1011
ENSG00000006459	11	367	95	7	94	636	1420	2731	607	966	977	2070	993	2627	772	2110	406	2023	901	1522
ENSG00000006468	10	97	93	28	107	87	328	395	301	431	145	461	137	525	181	239	181	466	106	247
ENSG00000006530	5	153	73	13	91	209	474	639	265	668	429	600	319	674	374	488	160	713	304	500
ENSG00000006534	1242	1416	541	416	834	2574	277	1349	1581	603	717	2201	375	1455	443	634	1542	1384	227	199
ENSG00000006555	8	43	57	14	76	59	428	506	375	43	763	94	681	138	728	439	109	685	955	849
ENSG00000006576	42	345	140	70	250	418	897	1843	708	820	349	1487	353	1842	376	1211	487	1264	235	546
ENSG00000006606	21	12	4	11	5	6	8	8	10	7	44	7	16	6	14	14	5	12	13	15
ENSG00000006607	9	44	27	56	38	83	785	1468	465	851	908	762	1224	812	1188	1138	281	1117	1051	1303
ENSG00000006611	0	9	4	7	4	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1
ENSG00000006625	42	502	333	29	481	342	506	804	919	734	967	541	892	443	1183	505	444	1586	802	1087
ENSG00000006634	9	80	37	5	69	92	185	307	189	244	114	292	174	334	102	167	123	350	116	249
ENSG00000006638	30	125	100	76	141	55	19	18	18	70	65	22	10	18	26	13	23	15	16	23
ENSG00000006652	29	719	198	85	199	227	775	1281	670	1189	714	663	1057	755	867	665	311	1067	911	1406
ENSG00000006659	0	1	0	2	0	0	0	1	2	1	1	0	0	1	0	0	0	1	3	0
ENSG00000006695	15	98	76	14	80	123	185	390	297	334	308	317	211	327	238	198	161	293	181	309
ENSG00000006704	35	160	152	145	126	186	432	412	238	233	799	306	586	279	670	389	102	475	774	656
ENSG00000006712	591	2658	2241	309	1791	958	681	1327	1186	1276	1327	1112	727	1016	892	641	815	978	910	901
ENSG00000006715	309	368	131	188	231	446	1164	2463	1269	1656	1047	2007	1127	2409	1111	1222	748	2025	955	1421
ENSG00000006740	68	104	61	21	80	50	184	138	75	154	146	47	83	86	92	127	32	98	79	172
ENSG00000006744	100	1040	874	73	803	1449	1193	1636	992	1364	1878	1551	1150	1569	1437	1197	1004	1665	1087	1256
ENSG00000006747	5	11	19	7	19	18	102	97	355	315	81	165	173	287	71	97	38	380	82	230
ENSG00000006756	117	498	353	40	397	534	715	1523	765	817	922	1361	532	1007	761	735	647	1245	593	922
ENSG00000006757	27	113	88	0	120	95	254	358	295	331	360	290	353	197	299	250	147	343	261	486
ENSG00000006788	3	12	3	37	11	3	0	0	0	0	0	2	0	0	0	0	0	1	1	0
ENSG00000006831	39	490	352	3	270	583	2022	2322	1238	3680	2345	2071	1869	2896	1915	1944	787	2967	1679	3354
ENSG00000006837	47	41	28	69	23	35	14	17	23	16	20	14	7	13	10	13	8	11	13	13
ENSG00000007001	0	2	0	4	2	2	4	1	0	0	1	0	0	0	1	0	7	1	1	3
ENSG00000007038	12	94	103	8	92	134	16	67	44	8	16	24	6	106	15	15	35	21	5	18
ENSG00000007047	83	593	581	63	518	722	398	567	359	469	738	383	650	385	600	410	290	603	556	647
ENSG00000007062	6	69	59	1	31	7	167	122	39	5	103	6	51	3	60	32	8	84	47	169
ENSG00000007080	1530	2448	3307	909	2664	2091	129	257	413	238	708	253	416	295	498	277	359	269	432	144
ENSG00000007129	38	161	135	76	207	154	89	159	48	43	48	122	19	154	23	54	213	101	29	21
ENSG00000007168	85	1184	697	117	839	1314	4886	5853	2790	5367	3936	4929	4145	5111	3503	4725	1940	5859	3511	5758
ENSG00000007171	12	13	4	23	12	1	13	5	4	7	15	7	6	5	12	3	3	4	9	26
ENSG00000007174	16	25	10	27	43	1	33	105	25	37	32	7	24	6	41	53	5	47	49	28
ENSG00000007202	300	906	785	244	760	836	3770	7563	3096	6162	4523	4961	3211	6509	3803	3968	2109	5250	2758	4112
ENSG00000007216	7	83	641	3	110	2	137	96	169	5	116	14	125	1	262	75	4	119	121	361
ENSG00000007237	594	1523	576	311	1098	2594	2424	5734	2146	4408	2296	4553	3379	5180	3040	3010	1517	5215	1999	2250
ENSG00000007255	818	1692	2076	407	2029	1288	161	204	441	121	415	270	329	235	281	205	394	223	311	206
ENSG00000007264	3013	2080	2419	1627	3067	1139	90	149	216	47	175	305	90	201	88	89	334	156	83	27
ENSG00000007306	0	4	3	1	11	0	32	51	31	1	24	0	51	2	8	5	4	10	25	100
ENSG00000007312	501	1355	1751	144	1118	309	187	262	436	249	267	81	72	310	181	206	338	117	143	55
ENSG00000007314	38	119	89	47	40	29	19	26	43	315	66	3	41	9	69	22	4	21	101	101
ENSG00000007341	31	201	168	36	165	183	333	511	350	538	457	338	288	349	433	313	237	483	516	577
ENSG00000007350	0	6	0	1	4	0	15	17	8	58	7	4	8	6	13	6	6	37	2	16
ENSG00000007372	7	19	20	5	14	13	3	18	0	0	0	2	6	0	5	1	3	5	1	8
ENSG00000007376	568	1262	1276	202	1098	1524	80	106	185	87	324	117	177	217	203	167	206	124	177	62
ENSG00000007384	58	490	372	5	312	616	739	848	477	937	1519	575	907	360	1487	881	194	885	1123	812
ENSG00000007392	552	3707	2616	92	1977	2275	1730	2752	1888	2296	2237	2091	1341	1696	1675	1762	1458	2116	2106	2287
ENSG00000007402	93	136	207	16	182	91	78	70	32	29	75	19	67	26	62	100	17	44	24	104
ENSG00000007516	9	258	266	2	107	90	56	32	85	36	72	13	65	40	99	84	51	55	103	62
ENSG00000007520	170	1230	1490	270	1643	846	224	343	717	297	963	394	466	342	689	374	589	416	549	303
ENSG00000007541	3207	2132	2887	1842	2143	1727	166	233	368	251	480	245	343	291	451	346	269	278	346	176
ENSG00000007545	30	347	164	18	175	386	507	905	334	679	641	624	427	600	620	534	221	759	573	696
ENSG00000007866	22	126	118	9	136	145	780	608	356	553	1208	413	1032	368	1455	629	137	975	1493	1185
ENSG00000007908	4	107	23	2	27	4	49	345	79	1436	32	293	245	310	452	221	0	129	604	282
ENSG00000007923	16	70	20	66	20	279	794	1262	608	1300	1143	991	899	1194	983	1054	410	1251	769	946
ENSG00000007933	719	131	130	31	45	117	457	315	250	578	323	218	91	305	143	451	153	230	170	120
ENSG00000007944	12	401	182	165	202	179	1055	1899	660	1038	747	777	686	668	792	1313	386	1135	657	1255
ENSG00000007952	4	20	9	2	7	6	16	4	3	1	10	2	15	0	12	34	3	54	1	16
ENSG00000007968	53	94	102	99	106	42	119	209	102	20	205	64	252	130	211	133	27	252	171	272
ENSG00000008018	1729	2862	3172	1019	3371	2274	2879	4249	5577	4076	5871	4848	3499	3995	3453	2812	4341	5195	3446	4116
ENSG00000008056	11	10	7	3	4	9	10	42	4	28	24	10	3	14	13	21	13	7	7	7
ENSG00000008083	246	283	201	175	234	387	677	1140	632	660	919	773	731	1013	826	945	503	1282	538	1013
ENSG00000008086	5	1	2	12	1	1	245	306	64	319	174	282	214	397	162	251	26	218	191	298
ENSG00000008118	0	103	7	3	6	58	9	30	72	34	11	48	14	25	38	15	31	7	36	4
ENSG00000008128	0	9	3	0	2	15	21	51	31	32	44	28	43	46	62	52	29	60	76	26
ENSG00000008130	644	1705	1009	290	1529	3238	724	2672	1302	1537	1086	2014	1210	2624	936	1269	1008	1856	871	841
ENSG00000008196	0	51	97	41	22	0	268	161	108	49	191	26	257	6	342	171	5	279	193	762
ENSG00000008197	0	7	0	46	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008226	21	127	43	133	61	100	77	84	36	89	85	39	25	58	26	63	22	35	45	40
ENSG00000008256	32	312	157	12	175	328	1238	1087	505	1330	999	1081	892	1206	1273	1224	309	1048	1114	991
ENSG00000008277	0	75	25	14	31	30	292	200	122	462	115	53	84	55	85	217	55	165	45	163
ENSG00000008282	15	480	317	38	348	279	2232	3787	1345	2839	1692	2385	2033	2130	2520	2528	539	2869	1716	3985
ENSG00000008283	222	671	761	82	571	594	1177	1804	1330	1196	2164	1069	1598	810	2265	1490	725	1839	1885	1778
ENSG00000008294	44	534	274	2	304	748	2749	4089	1586	4749	1799	3612	1941	4201	1732	2853	865	3312	1997	2884
ENSG00000008300	3	89	54	39	75	169	86	107	80	54	80	69	68	164	48	137	60	92	59	44
ENSG00000008311	36	34	15	19	19	29	378	312	69	671	101	165	153	245	85	429	21	200	183	246
ENSG00000008323	46	126	343	3	179	49	118	86	65	107	307	25	402	20	401	136	27	192	332	281
ENSG00000008324	84	383	252	59	290	232	286	524	768	415	539	501	360	406	413	287	557	594	407	472
ENSG00000008382	716	293	300	619	348	561	162	434	730	223	559	456	302	585	346	311	648	410	200	162
ENSG00000008394	6	561	1003	0	1017	300	1515	1080	835	5310	2079	976	7263	507	2619	964	152	1377	1012	11872
ENSG00000008405	0	74	44	16	50	86	449	634	208	903	195	584	369	506	301	439	50	524	340	464
ENSG00000008438	0	26	12	1	6	8	0	2	1	1	1	0	0	0	0	0	0	0	1	1
ENSG00000008441	418	1105	2358	115	1343	723	2442	3039	831	1593	2187	902	2376	609	2705	2418	290	2270	1782	2710
ENSG00000008513	895	867	585	1977	595	1178	1386	3384	2138	2229	1134	3955	764	4003	685	1506	1220	2668	578	777
ENSG00000008516	209	738	324	94	508	455	102	712	803	169	242	350	142	312	105	320	636	610	86	64
ENSG00000008517	7790	12272	15809	4818	24026	14936	1174	3571	5737	1321	2030	2464	950	2368	704	1717	5192	3361	674	386
ENSG00000008710	2042	2265	2673	689	2007	2220	732	789	618	810	1212	500	962	685	1291	1026	353	717	1405	615
ENSG00000008735	56	81	527	32	440	42	45	33	51	40	78	22	206	6	160	65	11	45	70	190
ENSG00000008838	112	1117	591	15	520	1475	998	1356	847	1394	1659	1078	1086	1333	1388	1259	586	1181	1174	950
ENSG00000008853	116	355	337	32	335	386	416	706	307	574	453	687	280	901	397	422	224	410	268	278
ENSG00000008869	3	206	82	43	101	298	1419	1330	447	1326	718	899	1033	1329	715	1162	282	1246	831	1418
ENSG00000008952	6811	1930	4117	6768	2010	1202	2894	4599	4523	5280	2358	4004	1757	3486	1485	2642	2827	3739	1694	3004
ENSG00000008988	9165	42176	37001	5273	35555	22432	8217	12474	21839	10969	19939	13888	12077	10033	11845	10289	20601	14571	14266	12222
ENSG00000009307	447	3744	2951	227	2950	2732	11216	18677	8545	16378	10382	14538	10006	14686	8606	10745	5779	16698	9490	14322
ENSG00000009335	57	429	217	18	299	488	1598	2470	716	2252	1363	1749	1621	2256	1718	1697	460	2119	1318	1975
ENSG00000009413	21	167	48	37	101	204	1508	2047	317	1842	638	745	642	965	1133	1957	124	1712	671	1070
ENSG00000009694	18	106	44	41	44	57	299	372	194	333	87	127	102	97	103	241	40	197	73	258
ENSG00000009709	0	0	1	5	0	0	3	1	0	0	2	0	1	0	0	0	0	0	6	2
ENSG00000009724	73	171	133	158	149	152	0	1	0	0	0	0	0	0	0	0	0	0	0	4
ENSG00000009765	5	1	15	0	5	0	5	4	0	1	6	2	32	0	19	5	0	0	3	91
ENSG00000009780	16	234	102	15	135	158	626	667	376	599	420	693	559	511	536	744	265	971	473	931
ENSG00000009790	134	892	789	80	1101	873	1226	2810	2400	1081	1311	2044	594	3081	377	1874	2692	2333	598	366
ENSG00000009830	76	394	372	23	241	371	442	510	319	649	542	488	400	460	482	380	217	460	473	552
ENSG00000009844	8	176	107	51	128	194	901	1369	535	1144	626	928	842	981	817	808	276	1211	674	1198
ENSG00000009950	522	818	2360	31	417	329	184	86	137	895	424	11	57	29	258	69	70	187	458	332
ENSG00000009954	76	479	334	10	421	490	1405	2593	1108	3086	1058	1669	982	2323	820	1188	581	1688	879	1224
ENSG00000010017	33	300	102	40	154	365	1586	2122	680	1563	1027	1782	1562	1588	1168	1441	412	2375	1288	1951
ENSG00000010030	94	228	168	73	336	273	220	426	418	104	235	186	304	291	306	209	306	442	603	185
ENSG00000010072	1	72	35	19	46	66	215	365	115	289	138	305	331	303	194	211	84	363	121	445
ENSG00000010165	24	299	206	21	391	177	513	1148	656	928	736	796	503	871	569	461	446	802	612	702
ENSG00000010219	78	507	278	85	357	554	297	813	790	456	493	1153	318	795	316	368	533	870	267	332
ENSG00000010244	435	848	494	424	670	826	3400	5139	2630	4163	2503	4227	2437	5173	2532	3318	1730	4596	2643	4197
ENSG00000010256	1654	3880	6516	759	5550	3056	1639	3296	3657	1834	4360	3257	3503	3127	3897	2201	2552	3364	2840	3780
ENSG00000010270	25	354	122	23	232	330	446	1302	864	1233	551	1935	311	1725	294	614	501	1303	295	426
ENSG00000010278	81	1333	842	25	1619	3402	3704	7779	5268	3919	7403	15662	6721	12714	7178	4587	1558	9801	5601	7986
ENSG00000010282	1	15	8	1	12	0	3	119	7	5	13	15	11	1	97	38	0	8	81	29
ENSG00000010292	16	266	203	14	199	321	808	1627	659	999	924	912	1034	1384	928	1003	394	1190	816	1308
ENSG00000010295	330	1954	969	101	1053	4263	804	2141	1278	1070	1175	2230	603	1992	886	1220	1314	1385	706	470
ENSG00000010310	41	106	144	52	138	168	214	216	262	63	278	162	115	211	169	146	159	163	186	226
